d_gu_name,bjdong_nm,total_cnt,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,adjusted_mobility_score,mobility_score,residential_dominance_score,young_single_ratio,young_homebound_ratio,evening_2030_ratio,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,commercial_zone_ratio,residential_zone_ratio,food_sales_ratio,daytime_influx_ratio,commercial_potential_score,bjdong_cd,candidate_type,visit_pattern_type,residential_filter
동대문구,답십리동,2223268.59,120317.5,14852.68,199693.12,54775.08,394471.29000000004,89193.58,155409.97,1.6540732719439029,1.6757009362876776,-0.5460882789578018,0.15562227360223496,0.03649244680590907,0.18789992678933304,0.02316258221713023,0.31301763680718964,0.08574074163901485,0.6173455523331086,0.13954952906476173,0.2431049186021298,0.0,0.0,0.0,1.0,1.6540732719439029,11230600,관찰 필요,생활 밀착형,방문성 검토
광진구,중곡동,3274042.23,184114.46,22022.45,328358.2,72389.93,597692.02,139070.74,261058.06,1.401851363098836,1.8222956098161396,0.4351102378925313,0.23790700064557513,0.04348187625134451,0.18508945234561824,0.02270417404900518,0.32580537539306326,0.07355814480597414,0.6016309028707032,0.1398636117715878,0.25850548535770906,0.0,0.0,0.0,1.0,1.651851363098836,11215740,관찰 필요,목적 방문형,방문성 검토
강서구,화곡동,6341162.49,369482.0,45308.1,655734.29,149415.79,1217351.94,284978.46,515023.57999999996,1.4825341135482126,1.833818287562991,-0.1493598668998236,0.18608595101185532,0.03655428652421951,0.19145473836979618,0.021055380983165718,0.32086243543482046,0.07731366479715039,0.6054946142335563,0.1406933183204523,0.25381206744599133,0.0,0.0,0.0,1.0,1.6492007802148791,11500591,관찰 필요,불명확,방문성 검토
동작구,흑석동,1933339.14,86411.63,19780.489999999998,346858.36,30123.86,554727.23,112179.67,114948.02,1.6414021789352016,2.554156380995906,1.3039345743724349,0.23012316367413563,0.04805089775931147,0.1105213100149066,0.02529943790594807,0.4436351951331328,0.0385287081137764,0.7095014890997935,0.14347888224582636,0.14701962865438,0.0,0.0,0.0,1.0,1.6414021789352016,11590605,관찰 필요,생활 밀착형,혼재형 (상권+거주)
은평구,신사동,1500066.73,80212.29,7101.99,121715.01999999999,36661.49,236445.97000000003,53705.95,99279.27,1.1388493258280332,1.1388493258280332,-1.132238495294784,0.14341004226888976,0.028687883464347797,0.20671241728626383,0.01859279162424783,0.3132195626058776,0.09343009428738143,0.6078608325856738,0.1375601737176504,0.2545789936966758,0.0,0.0,0.0,1.0,1.6388493258280332,11380631,관찰 필요,목적 방문형,방문성 검토
마포구,서교동,5209487.53,304748.68,47840.69,1372129.51,113241.28,1603902.94,450992.66,966567.32,1.6386870786616585,5.301480957343606,5.232562683831354,0.5421915126839962,0.08554181020983401,0.10086130065762978,0.01583361810708569,0.45412753567732017,0.03747895737869919,0.5308365458941326,0.1492630132955595,0.3199004408103079,0.0,0.0,0.0,1.0,1.6386870786616585,11440660,광역 목적지형,불명확,혼재형 (상권+거주)
관악구,인헌동,971019.29,85758.8,5149.29,113851.91,23386.61,234027.86000000002,53329.25,98529.33,1.1253545113910115,3.7065849752458653,3.68747209122122,0.4870552036199095,0.049809954751131216,0.2222384388526324,0.01334405531326781,0.2950399345465469,0.060604902312711484,0.6064682138092233,0.13819933657166084,0.25533244961911594,0.0,0.0,0.0,1.0,1.6253545113910115,11620625,야간 소비형,목적 방문형,혼재형 (상권+거주)
영등포구,당산동,3386342.27,201679.29,42488.4,444678.29,61681.94,864737.51,206437.91,309981.05,1.5970633222187653,2.9807164379964135,1.9766473082537828,0.33770319126771553,0.04067148201961745,0.14546881784334614,0.03038659305063462,0.3245288904164128,0.04476435928011596,0.6243605206107534,0.1492314920030947,0.22640798738615192,0.0,0.0,0.0,1.0,1.5970633222187653,11560550,광역 목적지형,생활 밀착형,방문성 검토
은평구,역촌동,1827077.12,91191.95,10023.92,149222.4,40071.66,281961.32,65254.6,116877.93,1.5887933492564819,1.65054910017491,0.08822250131204021,0.15676050815558343,0.038706869510664994,0.19649463141991647,0.021598907203790787,0.32153496539546905,0.08634387204226043,0.6075523732969097,0.14060647431548598,0.25184115238760435,0.0,0.0,0.0,1.0,1.5887933492564819,11380625,야간 소비형,불명확,방문성 검토
은평구,증산동,477718.65,27046.96,2771.24,39793.55,13148.69,79633.65,17487.2,33615.51,1.0463251032845267,1.0463251032845267,-1.6364056945551808,0.13017810686411846,0.02685811486892135,0.20688169687453437,0.021197163512889604,0.3043801280684272,0.10057408665806514,0.6091163162260292,0.1337592694182399,0.2571244143557309,0.0,0.0,0.0,1.0,1.5463251032845267,11380640,관찰 필요,목적 방문형,방문성 검토
성동구,금호2·3가동,839852.12,47499.22,5922.8,72252.18000000001,19697.16,140179.71,31060.25,57151.08,1.5312507712622032,1.5312507712622032,-1.160790050526711,0.12759899037703107,0.036871746332229054,0.20797321996519652,0.025932716099545762,0.3163529532507055,0.08624313808457634,0.6137706190225325,0.13599592173143044,0.25023345924603696,0.0,0.0,0.0,1.0,1.5312507712622032,11200615,관찰 필요,불명확,방문성 검토
