year_month,route_no,route_name,station_id,ars_id,station_name,board_total,alight_total,total_count
202604,673,673번(상동기점~이대부고),210000220,46618,그린타운상가.무지개마을(00010),2206,1233,3439
202604,673,673번(상동기점~이대부고),210000232,46633,상지초등학교(00103),148,603,751
202604,673,673번(상동기점~이대부고),210000233,46622,상동시장(00102),610,1103,1713
202604,673,673번(상동기점~이대부고),210000234,46040,팰리스카운티.장말문예사거리(00101),499,2314,2813
202604,673,673번(상동기점~이대부고),210000235,46615,복사골마을(00100),1019,2017,3036
202604,673,673번(상동기점~이대부고),210000245,46101,자동차매매단지(00108),2,939,941
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000245,46101,자동차매매단지(00126),13,284,297
202604,606,606번(부천상동~종로1가),210000245,46101,자동차매매단지(00125),22,435,457
202604,606,606번(부천상동~종로1가),210000246,46104,자동차매매단지(00001),192,5,197
202604,673,673번(상동기점~이대부고),210000246,46104,자동차매매단지(00001),558,4,562
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000246,46104,자동차매매단지(00001),166,4,170
202604,606,606번(부천상동~종로1가),210000258,46601,상도중학교(00119),290,1355,1645
202604,673,673번(상동기점~이대부고),210000258,46601,상도중학교(00104),74,698,772
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000259,46087,상동시장.중동역.부천여고(00007),2376,334,2710
202604,606,606번(부천상동~종로1가),210000259,46087,상동시장.중동역.부천여고(00009),3135,519,3654
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000282,46090,상동시장.중동역.부천여고(00120),470,1649,2119
202604,606,606번(부천상동~종로1가),210000282,46090,상동시장.중동역.부천여고(00117),843,2432,3275
202604,673,673번(상동기점~이대부고),210000285,46611,반달마을.법원.검찰청(00106),28,2434,2462
202604,673,673번(상동기점~이대부고),210000286,46603,꿈동산.사랑마을(00105),174,1647,1821
202604,606,606번(부천상동~종로1가),210000286,46603,꿈동산.사랑마을(00120),178,1778,1956
202604,6615,6615번(양천공영차고지~천왕역),210000290,45200,성우아파트(00009),459,490,949
202604,673,673번(상동기점~이대부고),210000295,46034,부천세무서(00094),1014,3182,4196
202604,673,673번(상동기점~이대부고),210000296,46037,손가면옥(00093),1204,1171,2375
202604,673,673번(상동기점~이대부고),210000320,46616,복사골마을(00009),4605,1408,6013
202604,673,673번(상동기점~이대부고),210000321,46621,상동시장(00008),2721,1160,3881
202604,673,673번(상동기점~이대부고),210000338,46035,약대초등학교입구(00092),2702,2088,4790
202604,606,606번(부천상동~종로1가),210000339,11278,국민은행.부천북부역(00112),3879,8102,11981
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000339,11278,국민은행.부천북부역(00115),2454,6088,8542
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000340,46007,노마즈하우스.우리은행(00114),894,2491,3385
202604,606,606번(부천상동~종로1가),210000340,46007,노마즈하우스.우리은행(00111),1517,3553,5070
202604,606,606번(부천상동~종로1가),210000341,46005,뉴대성병원.심곡천(00110),2335,2613,4948
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000341,46005,뉴대성병원.심곡천(00113),1530,1898,3428
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000342,46001,부천북초등학교(00112),1309,1469,2778
202604,606,606번(부천상동~종로1가),210000342,46001,부천북초등학교(00109),2179,1746,3925
202604,606,606번(부천상동~종로1가),210000343,11308,원미구청(00108),2564,2382,4946
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000343,11308,원미구청(00111),1678,1933,3611
202604,606,606번(부천상동~종로1가),210000344,46016,춘의테크노파크단지앞(00107),2969,2017,4986
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000344,46016,춘의테크노파크단지앞(00110),1811,1046,2857
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000345,46017,춘의역(00109),3504,4842,8346
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000346,11305,공구상가(00108),1729,2722,4451
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000347,11299,온세미(00107),1957,1477,3434
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000348,46049,도당동행정복지센터(00106),1985,883,2868
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000349,46687,북중학교(00105),2511,639,3150
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000350,46041,부천북고.도당고(00103),2275,2072,4347
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000351,46028,KT북부천지사.민방위교육장(00102),2737,2181,4918
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000352,46048,북부도서관(00027),1086,1229,2315
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000353,46027,KT북부천지사.민방위교육장(00026),1030,1678,2708
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000354,46042,도당동장미원입구(00025),1826,1696,3522
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000355,45076,도당동행정복지센터(00022),912,2432,3344
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000356,11300,온세미(00021),1014,2426,3440
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000357,11304,공구상가(00020),1511,2631,4142
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000358,46018,춘의역(00019),6928,3818,10746
202604,606,606번(부천상동~종로1가),210000359,46019,춘의테크노파크단지앞(00020),2027,1807,3834
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000359,46019,춘의테크노파크단지앞(00018),974,1602,2576
202604,606,606번(부천상동~종로1가),210000360,11310,원미구청(00019),2847,2597,5444
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000360,11310,원미구청(00017),1899,1718,3617
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000361,46004,부천북초등학교(00016),1554,1515,3069
202604,606,606번(부천상동~종로1가),210000361,46004,부천북초등학교(00018),2367,1940,4307
202604,606,606번(부천상동~종로1가),210000362,46006,뉴대성병원.심곡천(00017),3427,2493,5920
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000362,46006,뉴대성병원.심곡천(00015),2183,1792,3975
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000363,11287,부천북부역농협(00014),5928,1516,7444
202604,606,606번(부천상동~종로1가),210000363,11287,부천북부역농협(00016),7924,2148,10072
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000364,46010,부천대학입구.KT부천지사(00012),1630,924,2554
202604,606,606번(부천상동~종로1가),210000364,46010,부천대학입구.KT부천지사(00014),2529,1540,4069
202604,606,606번(부천상동~종로1가),210000365,11222,부천전화국(00013),1681,686,2367
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000365,11222,부천전화국(00011),1223,457,1680
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000366,46054,시민운동장(00010),1597,342,1939
202604,606,606번(부천상동~종로1가),210000366,46054,시민운동장(00012),2148,625,2773
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000367,11181,부천시민회관(00009),918,268,1186
202604,606,606번(부천상동~종로1가),210000367,11181,부천시민회관(00011),1174,393,1567
202604,606,606번(부천상동~종로1가),210000368,46050,팰리스카운티.부천서초교입구(00010),1716,394,2110
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000368,46050,팰리스카운티.부천서초교입구(00008),1185,277,1462
202604,673,673번(상동기점~이대부고),210000369,46036,농협신흥지점(00017),929,1493,2422
202604,673,673번(상동기점~이대부고),210000370,46043,손가면옥(00016),1708,1775,3483
202604,673,673번(상동기점~이대부고),210000372,46026,도당사거리(00020),898,1032,1930
202604,673,673번(상동기점~이대부고),210000373,45074,하나은행부천도당금융센터(00019),959,1092,2051
202604,673,673번(상동기점~이대부고),210000374,46094,약대오거리.동부하이텍(00018),1734,1442,3176
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000375,45078,부천북고.도당고(00024),797,1125,1922
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000376,45073,도당사거리.북중학교(00023),1839,3372,5211
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000404,46055,부천대입구(00116),613,1248,1861
202604,606,606번(부천상동~종로1가),210000404,46055,부천대입구(00113),935,1919,2854
202604,673,673번(상동기점~이대부고),210000439,46634,상지초등학교(00007),1089,726,1815
202604,673,673번(상동기점~이대부고),210000472,46095,송내역(00003),2437,77,2514
202604,673,673번(상동기점~이대부고),210000482,46058,부천시청.중동힐스테이트(00012),3286,2909,6195
202604,661,"661번(부천상동~영등포역,신세계백화점)",210000564,46121,부천상상거리(00013),2493,1505,3998
202604,606,606번(부천상동~종로1가),210000564,46121,부천상상거리(00015),4003,2260,6263
202604,6615,6615번(양천공영차고지~천왕역),210000567,45204,성우아파트(00035),183,1198,1381
202604,673,673번(상동기점~이대부고),210000568,46060,송내역A(00002),6619,43,6662
202604,6615,6615번(양천공영차고지~천왕역),211000068,45286,양지초교.부안초교(00012),970,1657,2627
202604,6615,6615번(양천공영차고지~천왕역),211000069,45284,역곡역남부(00011),9131,3390,12521
202604,6615,6615번(양천공영차고지~천왕역),211000070,45282,역곡고가입구(00010),590,1732,2322
202604,6615,6615번(양천공영차고지~천왕역),211000073,45285,역곡고가입구(00034),1565,464,2029
202604,6615,6615번(양천공영차고지~천왕역),211000074,45283,역곡역남부(00033),3991,7936,11927
202604,6615,6615번(양천공영차고지~천왕역),211000075,45281,양지초교.부안초교(00032),1581,1769,3350
202604,6614,6614(양천공영차고지~부천옥길지구),211000092,44011,옥길브리즈힐후문(00048),1051,1112,2163
202604,6614,6614(양천공영차고지~부천옥길지구),211000094,44003,옥길장터식당(00053),427,297,724
202604,6614,6614(양천공영차고지~부천옥길지구),211000169,44013,별빛마루도서관.소사경찰서.옥길동행정복지센터(00050),7535,290,7825
202604,6614,6614(양천공영차고지~부천옥길지구),211000172,44007,제이드카운티1단지(00044),433,6424,6857
202604,6614,6614(양천공영차고지~부천옥길지구),211000209,44001,옥길장터식당(00041),132,457,589
202604,6614,6614(양천공영차고지~부천옥길지구),211000275,44008,제이드카운티2단지.헤일라움(00045),987,1066,2053
202604,6614,6614(양천공영차고지~부천옥길지구),211000276,44012,브리즈힐.센트리뷰(00049),2327,458,2785
202604,6614,6614(양천공영차고지~부천옥길지구),211000278,44020,부천남부생태공원입구(00043),43,1189,1232
202604,6614,6614(양천공영차고지~부천옥길지구),211000279,44009,옥길중.버들초등학교(00046),685,849,1534
202604,6614,6614(양천공영차고지~부천옥길지구),211000281,44010,센트럴힐.옥길주민지원센터(00047),1969,1228,3197
202604,6614,6614(양천공영차고지~부천옥길지구),211000282,44021,부천남부생태공원입구(00051),698,134,832
202604,6614,6614(양천공영차고지~부천옥길지구),211000303,44006,옥길동(00052),438,116,554
202604,6614,6614(양천공영차고지~부천옥길지구),211000304,44002,옥길동(00042),37,556,593
202604,673,673번(상동기점~이대부고),212000003,45636,내촌사거리(00021),4062,1507,5569
202604,673,673번(상동기점~이대부고),212000004,45075,하나은행부천도당금융센터(00091),1506,1007,2513
202604,673,673번(상동기점~이대부고),212000005,45067,도당사거리(00090),582,659,1241
202604,673,673번(상동기점~이대부고),212000006,45635,내촌사거리(00089),952,2901,3853
202604,673,673번(상동기점~이대부고),212000008,45627,오정동경인OBS방송국(00087),3878,4211,8089
202604,673,673번(상동기점~이대부고),212000009,45631,오정구청입구.덕산고등학교(00086),990,3015,4005
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000012,45080,여월중(00101),1570,1717,3287
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000013,13094,성곡파출소(00100),544,1209,1753
202604,606,606번(부천상동~종로1가),212000014,13106,성곡동주민센터(00099),3156,1405,4561
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000014,13106,성곡동주민센터(00099),1580,1401,2981
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000015,45014,원종종합시장성곡사거리(00098),1631,1527,3158
202604,606,606번(부천상동~종로1가),212000015,45014,원종종합시장성곡사거리(00098),3039,1985,5024
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000016,45024,원종역3번출구(00097),3528,4262,7790
202604,606,606번(부천상동~종로1가),212000016,45024,원종역3번출구(00097),5364,6319,11683
202604,606,606번(부천상동~종로1가),212000027,45023,원종역2번출구(00029),7106,5360,12466
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000027,45023,원종역2번출구(00032),4598,3119,7717
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000028,45004,원종종합시장성곡사거리(00031),2058,2302,4360
202604,606,606번(부천상동~종로1가),212000028,45004,원종종합시장성곡사거리(00028),3438,4590,8028
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000029,13108,성곡동주민센터(00030),1799,1759,3558
202604,606,606번(부천상동~종로1가),212000029,13108,성곡동주민센터(00027),2482,3413,5895
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000030,13096,성곡파출소(00029),964,674,1638
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000031,45079,여월중(00028),1307,1024,2331
202604,606,606번(부천상동~종로1가),212000048,45003,부천종합운동장역5번출구(00104),2509,4482,6991
202604,606,606번(부천상동~종로1가),212000049,45016,여월휴먼시아4단지(00103),252,2452,2704
202604,606,606번(부천상동~종로1가),212000050,46727,오정경찰서.여월휴먼시아5단지(00102),428,181,609
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000051,45029,서림아파트(00096),1350,1502,2852
202604,606,606번(부천상동~종로1가),212000051,45029,서림아파트(00096),2218,2180,4398
202604,606,606번(부천상동~종로1가),212000052,45054,부강아파트(00095),1893,2784,4677
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000052,45054,부강아파트(00095),1324,2151,3475
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000053,45039,고강사거리(00093),2848,3495,6343
202604,606,606번(부천상동~종로1가),212000053,45039,고강사거리(00093),3203,4523,7726
202604,606,606번(부천상동~종로1가),212000054,45043,부강아파트(00031),3377,1425,4802
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000054,45043,부강아파트(00034),2023,1036,3059
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000055,45028,서림아파트(00033),2156,1469,3625
202604,606,606번(부천상동~종로1가),212000055,45028,서림아파트(00030),3770,2520,6290
202604,606,606번(부천상동~종로1가),212000056,46728,오정경찰서.여월휴먼시아5단지(00025),270,952,1222
202604,606,606번(부천상동~종로1가),212000057,45002,여월농업공원.여월휴먼시아4단지(00024),279,697,976
202604,606,606번(부천상동~종로1가),212000058,45015,부천종합운동장역6번출구(00023),7525,2145,9670
202604,606,606번(부천상동~종로1가),212000070,45045,수주도서관.고강선사유적공원(00094),1570,2255,3825
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000070,45045,수주도서관.고강선사유적공원(00094),1336,1668,3004
202604,606,606번(부천상동~종로1가),212000077,13156,수주로.수주초등학교(00092),1578,5713,7291
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000077,13156,수주로.수주초등학교(00092),1296,4291,5587
202604,606,606번(부천상동~종로1가),212000099,45044,수주도서관.고강선사유적공원(00032),3494,2546,6040
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000099,45044,수주도서관.고강선사유적공원(00035),2456,2044,4500
202604,673,673번(상동기점~이대부고),212000108,45624,부천우편집중국.부천실업고(00022),5972,5314,11286
202604,673,673번(상동기점~이대부고),212000111,45628,오정동경인OBS방송국(00023),5539,2593,8132
202604,673,673번(상동기점~이대부고),212000120,45623,부천우편집중국.부천실업고(00088),3436,2911,6347
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000138,45064,도당사거리.북중학교(00104),2713,1006,3719
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000156,45605,서울농원(00091),61,928,989
202604,606,606번(부천상동~종로1가),212000156,45605,서울농원(00091),99,1251,1350
202604,606,606번(부천상동~종로1가),212000158,45604,서울농원(00035),125,466,591
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000158,45604,서울농원(00038),74,173,247
202604,606,606번(부천상동~종로1가),212000159,13158,수주로.수주초등학교(00034),6239,1018,7257
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000159,13158,수주로.수주초등학교(00037),3558,653,4211
202604,661,"661번(부천상동~영등포역,신세계백화점)",212000160,45046,고강사거리(00036),4392,1925,6317
202604,606,606번(부천상동~종로1가),212000160,45046,고강사거리(00033),6418,2559,8977
202604,673,673번(상동기점~이대부고),212000161,45632,오정구청입구.덕산고등학교(00024),1678,292,1970
202604,606,606번(부천상동~종로1가),212000310,45639,여월휴먼시아1단지.까치울중학교(00100),1006,369,1375
202604,606,606번(부천상동~종로1가),212000311,45640,여월휴먼시아1단지.까치울중학교(00026),286,1521,1807
202604,606,606번(부천상동~종로1가),212000374,45641,오정경찰서.부천옹기박물관(00101),661,266,927
202604,5535,5535번(하안동~노량진),213000001,38167,광명시범공단(00075),377,6275,6652
202604,5630,5630번(광명공영차고지~목동역),213000001,38167,광명시범공단(00062),345,1732,2077
202604,5627,5627번(노온사동~구로디지털단지역),213000005,38190,소하초중고등학교(00021),2314,1159,3473
202604,505,505번(노온사동~서울역),213000005,38190,소하초중고등학교(00018),7262,1824,9086
202604,505,505번(노온사동~서울역),213000006,38193,가리대삼거리.소하상업지구(00017),9565,2991,12556
202604,5627,5627번(노온사동~구로디지털단지역),213000006,38193,가리대삼거리.소하상업지구(00020),5386,1760,7146
202604,5627,5627번(노온사동~구로디지털단지역),213000007,38245,뒷골사거리(00007),320,71,391
202604,5633,5633번(노온사동~순복음교회),213000007,38245,뒷골사거리(00007),305,88,393
202604,505,505번(노온사동~서울역),213000007,38245,뒷골사거리(00007),1412,135,1547
202604,6638,6638번(철산동~오목교),213000009,38018,광명시장(00015),5766,3934,9700
202604,6616,6616(철산동~온수동),213000009,38018,광명시장(00015),5876,3050,8926
202604,6616,6616(철산동~온수동),213000010,38010,경기항공고등학교(00014),1447,1656,3103
202604,6638,6638번(철산동~오목교),213000010,38010,경기항공고등학교(00014),1837,2103,3940
202604,6638,6638번(철산동~오목교),213000011,38019,광명시청.한국폴리텍대학(00013),1523,998,2521
202604,6616,6616(철산동~온수동),213000011,38019,광명시청.한국폴리텍대학(00013),1046,786,1832
202604,504,504번(광명공영차고지~남대문),213000012,38013,광명시청.한국폴리텍대학(00088),2512,3638,6150
202604,504,504번(광명공영차고지~남대문),213000013,14095,모세로삼거리.광명시보훈회관(00087),3089,4026,7115
202604,6616,6616(철산동~온수동),213000014,38093,연서도서관.철산종합사회복지관(00004),792,131,923
202604,6638,6638번(철산동~오목교),213000014,38093,연서도서관.철산종합사회복지관(00004),859,127,986
202604,6638,6638번(철산동~오목교),213000015,38099,현충근린공원(00003),2394,69,2463
202604,6616,6616(철산동~온수동),213000015,38099,현충근린공원(00003),1932,63,1995
202604,6638,6638번(철산동~오목교),213000016,38080,광명북중고등학교(00002),2646,24,2670
202604,6616,6616(철산동~온수동),213000016,38080,광명북중고등학교(00002),2133,22,2155
202604,6638,6638번(철산동~오목교),213000018,38075,철산우성아파트(00066),12,844,856
202604,6616,6616(철산동~온수동),213000018,38075,철산우성아파트(00077),12,721,733
202604,6638,6638번(철산동~오목교),213000019,38065,광명북중고등학교(00065),10,1041,1051
202604,6616,6616(철산동~온수동),213000019,38065,광명북중고등학교(00076),12,963,975
202604,6638,6638번(철산동~오목교),213000020,38098,현충근린공원(00064),32,1190,1222
202604,6616,6616(철산동~온수동),213000020,38098,현충근린공원(00075),26,1047,1073
202604,구로11,구로11(대림역~개봉역),213000020,38098,현충근린공원(00011),996,4238,5234
202604,6616,6616(철산동~온수동),213000021,38094,연서도서관.철산종합사회복지관(00074),51,975,1026
202604,6638,6638번(철산동~오목교),213000021,38094,연서도서관.철산종합사회복지관(00063),66,1105,1171
202604,504,504번(광명공영차고지~남대문),213000022,14096,모세로삼거리.광명시보훈회관(00011),4231,2097,6328
202604,504,504번(광명공영차고지~남대문),213000023,38015,광명시청.한국폴리텍대학(00010),5394,4258,9652
202604,6637,6637번(광명 노온사동~목동),213000033,38006,광명초등학교(00064),2305,13388,15693
