d_admdong_cd,d_gu_name,d_admdong_name,observed_months,first_month,latest_month,avg_adjusted_mobility_score,latest_adjusted_mobility_score,score_slope,avg_monthly_2030,latest_monthly_2030,avg_share_2030,latest_share_2030,avg_evening_2030_ratio,latest_evening_2030_ratio,visitor_months,top20_visitor_months,latest_visitor_rank,residential_dominance_score,young_single_ratio,residential_filter,score_change_6m,trend_type,trend_candidate_score
11710710,송파구,잠실6동,39,202301,202603,2.9598153844806476,3.0830444490719935,-0.027557576338505852,56977.0182051282,54579.42,0.45025191587661073,0.4375538730903913,0.06018224620607571,0.06874935644240998,39,39,2.0,-3.173074755875258,0.05383744855967078,방문성 검토,0.5450633962538043,유지/변동,12.496552635347754
11440655,마포구,서강동,39,202301,202603,3.078595321579611,3.052315100865874,-0.0194125974761159,25679.451538461537,31096.17,0.5134228646848087,0.516458623911691,0.14000440621277743,0.10721609767376498,0,39,4.0,1.6023392492961441,0.3004368980240294,혼재형 (상권+거주),-0.02730064613473271,유지/변동,10.765154034739215
11560540,영등포구,여의동,39,202301,202603,3.164101951996697,3.076468636187025,-0.03144754643016574,117481.3,135818.43,0.44577339324537024,0.42309080093958273,0.047865241932529556,0.04368059621952632,39,38,3.0,-0.027530506584676456,0.1506593169044531,방문성 검토,0.0065527652929349145,유지/변동,10.012718871057109
11650531,서초구,서초4동,39,202301,202603,3.0600540174722197,2.6827637044673587,-0.02680735336796674,39761.41282051282,37618.33,0.43632627490272113,0.40601128442007695,0.09711198071655718,0.07938470421201578,39,39,9.0,-1.8296549099165325,0.10268600458865947,방문성 검토,0.010364996141163374,유지/변동,9.901385428864144
11560605,영등포구,문래동,39,202301,202603,2.639795368249905,2.510509970961242,-0.024441009349652282,27501.848461538462,34394.54,0.4006649068312231,0.3783854370649527,0.11968104471472493,0.09745035113131328,39,34,12.0,-0.4631396189398658,0.15770632968016104,방문성 검토,0.30639940553378286,유지/변동,9.896105293367054
11200690,성동구,성수2가3동,39,202301,202603,3.006285394167996,2.7337088886177363,-0.027216867676475368,41052.61743589744,41132.56,0.5190754251043275,0.4871935760305729,0.0599265110857829,0.049610089914170194,39,38,7.0,0.7474965405181784,0.2946514075243357,방문성 검토,-0.01033636163943763,유지/변동,9.639218504639073
11440680,마포구,합정동,39,202301,202603,3.1193625484642293,2.560121295808366,-0.032674065937804524,24867.290512820513,21290.66,0.5397334121540501,0.4910052426849059,0.13256735534228756,0.12283414417401808,0,39,11.0,1.8102025487404827,0.3530507005633396,혼재형 (상권+거주),0.05627056775517536,유지/변동,9.58262157001604
11590510,동작구,노량진1동,39,202301,202603,2.65747076590684,3.1042228967411147,-0.028240424384363843,21313.632564102565,22095.81,0.4483572016415546,0.44772589116374073,0.17702752558630985,0.18957802406881666,0,30,1.0,1.6619816520725266,0.2550168693605335,혼재형 (상권+거주),0.18778962673399757,유지/변동,9.294107587827222
11200535,성동구,왕십리도선동,39,202301,202603,2.6141388972545383,2.4907439530311164,-0.01360247490171284,21236.854615384615,21598.34,0.3649653494172244,0.3468753046433631,0.16141754585547377,0.1467418329371609,39,32,14.0,-0.06573635571892486,0.2000353866317169,방문성 검토,0.010907839223963212,유지/변동,9.088367798432515
11200660,성동구,성수1가2동,39,202301,202603,2.58513947726098,2.482951876729483,-0.01837413094310005,23941.241282051284,26499.45,0.519273721277447,0.4836726078105804,0.06721427792449654,0.0669391251516541,39,30,15.0,0.9957638208811109,0.3010395256916996,방문성 검토,-0.03947511027668105,유지/변동,8.190846705575298
11170560,용산구,원효로1동,39,202301,202603,2.5727246017975993,2.7757965330370435,-0.019641312865715053,12277.623846153847,10976.68,0.4271911833209644,0.3948511378245827,0.16242022849562876,0.18665935419452878,39,26,6.0,0.5210045724731556,0.2683905146316852,방문성 검토,-0.006941534453162035,유지/변동,8.002643064966069
11680580,강남구,삼성1동,39,202301,202603,2.7045840966777,2.8184140354445875,-0.027600369174509122,58467.33666666666,60682.1,0.4487580452938569,0.447042179415805,0.04215383729732858,0.036039458093902486,39,29,5.0,-1.0736342058696589,0.1645640362225097,방문성 검토,-0.1766242970467271,유지/변동,7.347709635497931
11680565,강남구,청담동,39,202301,202603,2.470478912876337,2.3729701338456173,-0.017918121847685202,38780.98025641026,40803.06,0.4256049498320485,0.4030089075079966,0.08630986547099649,0.07713710687384721,39,23,17.0,0.412301006320716,0.2174990043807248,방문성 검토,0.03501983421866406,유지/변동,7.245080913252499
11710562,송파구,방이2동,39,202301,202603,2.5976620195362203,2.406242010778074,-0.03674877897082349,31094.19615384615,29756.95,0.46995738854374236,0.43270122814823864,0.19775279230933063,0.20107672325288714,0,28,16.0,2.81769661367326,0.38860288534548215,혼재형 (상권+거주),0.11549018799341315,유지/변동,7.13208366231559
11680510,강남구,신사동,39,202301,202603,2.7284074978559953,2.191704005239818,-0.03274627660244042,33599.405641025645,30030.65,0.45210627149254706,0.4075114831482111,0.08564447211083001,0.07180663755196774,39,34,24.0,0.39599382051964616,0.26104171468080206,방문성 검토,-0.14861387859334707,하락,7.066227216678635
11680545,강남구,압구정동,39,202301,202603,2.9747262074380467,2.3434596366945573,-0.04366760531062563,43736.55256410257,41295.590000000004,0.43377752895155214,0.3893887311313705,0.08734452304034918,0.06455410856219757,39,34,18.0,-1.6798804634594113,0.10049937799893371,방문성 검토,-0.07983679767515683,하락,7.034283665972161
11200560,성동구,행당1동,39,202301,202603,2.374188397205712,2.716331017961268,-0.018761194292073822,18486.5441025641,26363.789999999997,0.37819533030398916,0.39718045429947796,0.14142832247747228,0.1086918838300563,39,18,8.0,-0.25027712719998274,0.21360270093661513,방문성 검토,0.053255620915622526,유지/변동,6.847434332679934
11500510,강서구,염창동,39,202301,202603,2.3454295765220836,2.2726774083192747,-0.017330724885058844,17456.90358974359,17374.29,0.34219473184134724,0.3100519837891953,0.18206436470705928,0.18172310926086763,39,16,22.0,-0.39565080539458314,0.14740111063648012,방문성 검토,0.044243203568333556,유지/변동,6.032614807578891
11215847,광진구,자양4동,39,202301,202603,2.252067030949621,2.49782964478491,-0.027505423552811485,17535.93076923077,17494.42,0.41500970596846726,0.40628837746800206,0.15358737665912287,0.1538684906387294,39,14,13.0,0.9721337694906385,0.261156833198099,방문성 검토,0.10016477815219238,유지/변동,5.408380909839097
11200670,성동구,성수2가1동,39,202301,202603,2.165139881756775,2.2209892191332017,-0.018207790927352627,15261.75358974359,13878.8,0.4310051878108311,0.4060611326983837,0.10164469300848814,0.10722829063031385,39,3,23.0,0.3039569023466759,0.22585786212238573,방문성 검토,0.3905620494611677,유지/변동,5.259710359532965
11740620,강동구,천호3동,39,202301,202603,2.1478844247372857,2.6276037104469787,-0.027214613220825135,14925.241794871796,13881.33,0.36352500204997035,0.3493000325613066,0.19464761255402901,0.2252125696889275,39,9,10.0,0.7391673272165001,0.24527738598965682,방문성 검토,0.21717002492427095,유지/변동,5.2354579459881965
11440710,마포구,연남동,39,202301,202603,2.4033303212921675,1.8813885473348364,-0.028207331185467168,19781.028974358975,15922.1,0.5709335222802363,0.5051871627043366,0.12389876930510581,0.13400054012975673,0,19,52.0,2.9515160236932174,0.44255233253588516,혼재형 (상권+거주),0.020927400303683008,유지/변동,5.15660732025844
11500591,강서구,화곡6동,39,202301,202603,2.1944269651807877,2.279155764654524,-0.014700377881502786,13879.34,14259.33,0.3678054317394562,0.3511323442066351,0.20733171059692596,0.20024783773150634,39,5,21.0,0.7544130809326841,0.24093574249132463,방문성 검토,0.1804827736650454,유지/변동,5.0252227157022995
11440690,마포구,망원1동,39,202301,202603,2.231842537299925,2.101820997771647,-0.022359254871187225,15517.33923076923,14073.33,0.4399049535253083,0.4003960906462064,0.15448567320507683,0.16041334922154174,0,7,29.0,1.290415297026079,0.30487956151738066,혼재형 (상권+거주),0.20573135135096265,유지/변동,4.6873649515638
11710580,송파구,송파1동,39,202301,202603,2.2798702840416225,2.312442406467092,-0.03624601138781988,21987.570256410258,24163.91,0.4566933371753032,0.427384360475749,0.14753886474039765,0.14895602574252265,0,10,19.0,1.684832059046276,0.3213441607009296,혼재형 (상권+거주),0.26234131522301407,유지/변동,4.67193541979717
11230600,동대문구,답십리1동,39,202301,202603,1.7540433972069895,2.1097268971581538,-0.018184412289397704,12218.294871794871,12579.0,0.30915029063408456,0.29857782107263,0.18938305940736866,0.19746482232291915,39,0,27.0,0.06179332669649859,0.1932956594926055,방문성 검토,0.3947573443827115,유지/변동,4.227142050333521
11200650,성동구,성수1가1동,39,202301,202603,2.24684235025684,2.2961196391535306,-0.024155508561300647,15261.865128205129,15069.880000000001,0.425399365046559,0.40174133730012745,0.0978819895166566,0.09786275670410115,39,13,20.0,-0.1103385975767581,0.21785419532324624,방문성 검토,-0.14716296332201662,유지/변동,4.200520922538995
11710680,송파구,잠실3동,39,202301,202603,1.421396657020543,1.9706409108246525,-0.03761826167287189,29125.51358974359,27301.989999999998,0.30810970994458103,0.30894477024614764,0.10238795955401223,0.12732295338178648,39,1,44.0,-3.4470109035306127,0.03101620399447306,방문성 검토,0.7595438633444129,유지/변동,3.9432468687606015
11560550,영등포구,당산1동,39,202301,202603,1.8164560264423442,1.9892100916364335,-0.02073315165519346,19464.855128205127,19186.78,0.3965570763324461,0.37777008153445674,0.13871959156125493,0.14800242667086402,39,1,42.0,1.121123387991104,0.2883527156549521,방문성 검토,0.3395678088414402,유지/변동,3.87495538222315
11170660,용산구,이태원2동,39,202301,202603,2.3496901813092426,1.7051535354790477,-0.048344094887346895,9594.152051282052,7647.16,0.4755977665320025,0.40788290426606616,0.14050483489988055,0.1370417252940961,0,15,74.0,0.9893183139918853,0.35889286780065655,혼재형 (상권+거주),0.25332506924172504,유지/변동,3.8036570267852348
11215840,광진구,자양3동,39,202301,202603,2.00870758660775,2.1046029061820217,-0.021888634358284503,18939.111538461537,17439.15,0.3413476066070085,0.3161709756126746,0.14378856922500718,0.15438653833472388,39,1,28.0,-1.9025800528875205,0.09041501723917762,방문성 검토,0.24673951529417582,유지/변동,3.7633597030717203
11440585,마포구,도화동,39,202301,202603,2.1919663003314853,2.0717119471777656,-0.014282118870403577,13482.693076923078,15143.39,0.3772618973529009,0.3475669220658113,0.1444868840501095,0.12752494652782503,39,8,31.0,-0.20335465973635192,0.20166450356911095,방문성 검토,-0.1670410761188279,유지/변동,3.760730886704752
11200645,성동구,옥수동,39,202301,202603,1.3985563600856605,1.7826171198354586,-0.015853924578417593,10776.151025641026,11353.07,0.28498028043661955,0.2683210785906719,0.18671123591617844,0.19804863354141217,39,0,66.0,-1.7014747452537682,0.11087267943283147,방문성 검토,0.3988148085395933,유지/변동,3.5955540648102744
11530510,구로구,신도림동,39,202301,202603,1.9603499809580411,1.9573170276343084,-0.016682842203173388,20464.817692307694,17030.42,0.33960953960982493,0.28737470695843054,0.1409404430583785,0.17195113215058702,39,0,46.0,-1.3924418468613609,0.10002388458966276,방문성 검토,0.2051729839808405,유지/변동,3.5807636650025003
11440565,마포구,공덕동,39,202301,202603,1.8094460940950512,2.0449254900306255,-0.02047614546378093,20607.586410256412,21340.26,0.3606702745857371,0.34578859255063127,0.16426185601589896,0.16967834506233756,39,0,34.0,1.0762257336865853,0.2416732798649219,방문성 검토,0.2797577215574245,유지/변동,3.5556249930747734
11215750,광진구,중곡2동,39,202301,202603,1.5632334483280412,1.8565038481546283,-0.020025172041225194,9044.441025641026,9304.630000000001,0.354747809333898,0.33554671948116394,0.19891396642250575,0.20449711595195078,39,0,55.0,0.90463978577358,0.26494617642947016,방문성 검토,0.358636429070573,유지/변동,3.403197384573372
11215870,광진구,구의3동,39,202301,202603,1.8816505747635262,2.0604309308853415,-0.016262980200506035,20243.277948717947,20124.59,0.32987501249720363,0.32594113472259695,0.135352409370827,0.12961754748792398,39,0,32.0,-0.008074339822324639,0.19402499410516388,방문성 검토,0.12425865489759991,유지/변동,3.3070508294980123
11440555,마포구,아현동,39,202301,202603,1.859190981066145,2.043600050809499,-0.01813671454042181,14803.38,15779.9,0.3267963257169696,0.3084775967214371,0.16095190549126032,0.1602576695669808,39,0,35.0,-1.0841778691891846,0.12136099955377065,방문성 검토,0.15839965524693933,유지/변동,3.2679944771823908
11650651,서초구,양재1동,39,202301,202603,1.616171294261972,2.0601125080390883,-0.030715131267972384,28647.73692307692,38574.43,0.33690097581523326,0.35766561762231325,0.10764361888315882,0.08536017252879693,39,0,33.0,0.19652585477459403,0.17811521443158612,방문성 검토,0.390029916861385,유지/변동,3.071892283995666
11440700,마포구,망원2동,39,202301,202603,1.9305843407406122,2.143639465010347,-0.03460123214132469,7977.0630769230775,7699.73,0.34341014852808993,0.3297866462562977,0.20135592101303415,0.19828097868366815,39,5,25.0,-0.36660364179404864,0.18300401466224472,방문성 검토,0.13602358872576126,유지/변동,2.9113269250288445
11650610,서초구,방배2동,39,202301,202603,1.739411894889954,1.7979677817911743,-0.015732078995147534,13171.396923076923,12405.61,0.3635958138764927,0.33176697811916495,0.12486232542672074,0.13362905975602973,39,0,64.0,-0.7464518684224275,0.16602353669866832,방문성 검토,0.13031528118025348,유지/변동,2.8791854383207456
11710620,송파구,가락본동,39,202301,202603,1.8816158664432208,2.036407468265106,-0.014580689905286461,20526.861282051283,26750.79,0.3320271063569501,0.34061632289626614,0.14368093909575722,0.10663946746993266,39,0,36.0,-0.3555838407337819,0.16762999385371852,방문성 검토,-0.004781374640742353,유지/변동,2.8531874541350586
11200520,성동구,왕십리2동,39,202301,202603,1.4282640300552027,1.9163021575671235,-0.024403106088181116,6637.570512820513,6630.11,0.3178193854363892,0.29986901866212695,0.19780535068581553,0.21569325395807912,39,0,48.0,-0.1997728223885621,0.19670809943865278,방문성 검토,0.3132374441181156,유지/변동,2.8108037415761844
11560620,영등포구,양평2동,39,202301,202603,2.139197045363423,2.12482246314187,-0.016798387439990008,16595.84487179487,18323.2,0.4038441796372485,0.3804199335128801,0.15515301773938883,0.14527538857841424,39,3,26.0,0.887601393026331,0.26957760194765673,방문성 검토,-0.1883406453774259,유지/변동,2.7605477331422312
11500540,강서구,화곡1동,39,202301,202603,1.5852723953534946,1.6355524813812616,-0.016268333010475772,23088.550256410257,18871.55,0.37270139709047784,0.3285614872253703,0.2002224036411509,0.23749824471227854,0,0,86.0,2.256594124908272,0.289100855063997,혼재형 (상권+거주),0.2004675706468273,유지/변동,2.756379909019332
11215740,광진구,중곡1동,39,202301,202603,1.6028512109703728,2.010080611645045,-0.022548523014398525,7685.131794871795,7914.56,0.36363963514891284,0.3462705269117252,0.2019726140546922,0.2163379897303198,39,0,38.0,0.8942535844065947,0.28492177887150644,방문성 검토,0.18794825486984323,유지/변동,2.733965855417805
11500535,강서구,등촌3동,39,202301,202603,1.629339926060803,1.8444574872657187,-0.01836792221611387,20404.982820512818,28171.32,0.326740908717264,0.32955013776234826,0.1309664753011556,0.0996548972501111,39,0,56.0,-1.0920983695702213,0.10818035611717404,방문성 검토,0.15553107525808807,유지/변동,2.725008012074132
11590630,동작구,사당2동,39,202301,202603,1.786091259584169,1.7962303864091376,-0.01266353650617308,15359.399743589744,14439.77,0.30267139925766656,0.2699546697012747,0.17300278315595397,0.1796919203006696,39,0,65.0,-0.764297446107324,0.1420340175953079,방문성 검토,0.02398252534514045,유지/변동,2.7043436596297354
11650520,서초구,서초2동,39,202301,202603,1.3949349470974552,1.8080624760036967,-0.02252212095630339,33600.88256410256,45072.94,0.40971646460346,0.43207400014034064,0.09089843724196572,0.06798136531586357,0,0,62.0,1.5695430475165153,0.3299362725972168,혼재형 (상권+거주),0.2771503654394989,유지/변동,2.6213905842228122
11740570,강동구,암사1동,39,202301,202603,1.2503598750396943,1.4808192137626404,-0.019590105798351687,11980.454871794871,16159.98,0.2745742627482729,0.28016890599801453,0.18962576868521214,0.14827184192059642,39,0,118.0,-0.38002557060489073,0.14675664704688451,방문성 검토,0.3537618499561783,유지/변동,2.583798929560504
11260610,중랑구,중화2동,39,202301,202603,0.834358039193433,1.5025744730567139,-0.020610891313572875,7542.214358974358,8097.119999999999,0.269607645016722,0.26530606895430914,0.21236260996152895,0.2289962356986188,39,0,115.0,0.48319956876881276,0.21771413131586057,방문성 검토,0.47677370284579323,유지/변동,2.5782508438215688
11290810,성북구,석관동,39,202301,202603,1.4165038601986821,1.7018537016738478,-0.017324216395559932,12428.302820512821,13565.78,0.291159436529647,0.2842614342380702,0.1963272627926729,0.19497072781660915,39,0,76.0,0.37796763240015935,0.1959127798963528,방문성 검토,0.19899965159115007,유지/변동,2.561637160408423
11440660,마포구,서교동,39,202301,202603,2.205573189243707,1.567843064031389,-0.03678031587813008,112299.83153846153,90305.04,0.594861196489148,0.5598002535883796,0.11896429330133455,0.10304740466312844,0,9,99.0,5.232562683831354,0.5421915126839962,혼재형 (상권+거주),0.03868858672398012,유지/변동,2.5221122574148067
11290610,성북구,보문동,39,202301,202603,1.194885650806631,1.7556885341025228,-0.022839825605740223,8393.359743589743,9689.39,0.3624990954626116,0.38009413119682656,0.17417514028368408,0.16421363986793805,0,0,70.0,1.0381283977507596,0.3028909681115142,혼재형 (상권+거주),0.328196287784182,유지/변동,2.518398725221264
11560515,영등포구,영등포본동,39,202301,202603,2.099458804339874,1.9016703180896561,-0.02850526707815824,11908.167948717948,8988.77,0.3455434421356494,0.28307716435649555,0.17782361113127512,0.20713290027445355,39,8,49.0,-0.20376361324986642,0.16116561844863733,방문성 검토,-0.14335440205565986,유지/변동,2.5039228664164472
11260520,중랑구,면목2동,39,202301,202603,0.8665612903040694,1.3459345708063393,-0.01904435802050699,6149.42,5843.34,0.25889393420237417,0.24516495540883904,0.21185069054751096,0.2314344193560532,39,0,142.0,-0.4458157293202596,0.1424471730439749,방문성 검토,0.46951304286723516,유지/변동,2.5029228786021576
11470640,양천구,신정3동,39,202301,202603,1.1637222935098077,1.3384020057140136,-0.01656671827771291,13331.333076923076,13710.380000000001,0.2416330906927091,0.2301445018978422,0.20578148605115607,0.20000102112414098,39,0,144.0,-1.656694217475675,0.0766498382898162,방문성 검토,0.3372829447763961,유지/변동,2.456609753898987
11650540,서초구,잠원동,39,202301,202603,1.6847843583284838,1.7555779740100128,-0.01599843507800137,16912.842820512822,20039.87,0.33291321446365074,0.30410201990909963,0.1296124619019531,0.1257732709842928,39,0,71.0,-0.5717038372609142,0.16948865053629333,방문성 검토,0.056447742126563005,유지/변동,2.430931771511166
11380510,은평구,녹번동,39,202301,202603,1.7276019229592616,1.831923412907604,-0.014882031923344082,14735.11923076923,14217.98,0.2934826177710733,0.2730725293028094,0.19077585541430203,0.19217427510799706,39,0,59.0,-0.4309772051664965,0.16112097550540164,방문성 검토,0.0009275212715877945,유지/변동,2.422099098297195
11410565,서대문구,충현동,39,202301,202603,1.2960630233418697,1.6512996676372944,-0.023788372928338533,22654.488717948716,44512.689999999995,0.3780336696465958,0.4028054231653688,0.10424533695680772,0.05520043834690737,39,0,85.0,1.067707832722658,0.30085778443113775,방문성 검토,0.30365540901784227,유지/변동,2.331208849023392
11380520,은평구,불광1동,39,202301,202603,1.329945703350125,1.6194881561036996,-0.019863363026611486,12298.44564102564,11575.14,0.2621343161849235,0.2524714089130163,0.20146540498434748,0.2045063817802636,39,0,88.0,-0.38646456000919827,0.147086629181359,방문성 검토,0.226117259633412,유지/변동,2.2884414944263973
11230610,동대문구,답십리2동,39,202301,202603,1.3280697007126314,1.775029786471452,-0.021953652627979853,9416.835897435896,10022.94,0.2874596175356859,0.27723452001187165,0.19186405244934543,0.19944646979828273,39,0,68.0,-1.153969884612102,0.1179488877118644,방문성 검토,0.20703093298761566,유지/변동,2.2475328952049884
11260620,중랑구,묵1동,39,202301,202603,1.4960572360885764,1.687160441320446,-0.017177491226416593,12126.111025641027,11944.12,0.278291434854603,0.264948452693512,0.19812316349139594,0.19745531692581791,39,0,80.0,-0.3810018765530435,0.14747649572649574,방문성 검토,0.08795683911143937,유지/변동,2.175318726734905
11500605,강서구,가양3동,39,202301,202603,1.1704932380118305,1.5050576413725723,-0.03178260412552723,5414.264358974359,5620.69,0.34981936312238643,0.317746447979929,0.17375886842074278,0.18375857768352283,39,0,113.0,-1.0628511039894168,0.16190525659671723,방문성 검토,0.4817239245072007,유지/변동,2.1744285404393042
11560560,영등포구,당산2동,39,202301,202603,1.6290414756412135,1.5487518507431444,-0.013959467076968443,28732.672564102562,31254.13,0.43621786998828116,0.41410091624117074,0.15881223804930986,0.14863187681116063,0,0,100.0,2.8321712285164615,0.38705366688047893,혼재형 (상권+거주),0.036981661343253425,유지/변동,2.17426997385785
